0, 0, 18348, 6116, -1, -1, -1, -1
1, 0.177578, 1037, 2074, -1, -1, -1, -1
2, 0.015826, 1760, 9336, -1, -1, -1, -1
3, 1.02652, 27370, 145171, 7.21974e+09, 121149, 0, -1
7, 1.70597, 2211, 12316, 8284.95, 27.8228, -1, -1
6, 0.022142, 8995, 47060, 8284.95, 18.6388, -1, -1
7, 0.318332, 3552, 18574, 1530.73, 10.4206, -1, -1
8, 0.096386, 3552, 17678, 654.752, 7.23527, -1, -1
9, 0.044702, 3552, 17678, 221.508, 5.99932, -1, -1
6, 0.01179, 5982, 28133, 221.508, 5.40188, -1, -1
7, 0.163983, 3557, 17670, 124.693, 5.51946, -1, -1
8, 0.057801, 3557, 17551, 124.693, 5.30827, -1, -1
9, 0.04615, 3557, 17551, 124.693, 5.09685, -1, -1
6, 0.0103, 5484, 25340, 124.693, 4.84101, -1, -1
7, 0.137961, 3683, 18184, 124.693, 5.0342, -1, -1
8, 0.053547, 3683, 18158, 124.693, 4.96812, -1, -1
9, 0.04766, 3683, 18158, 124.693, 4.88175, -1, -1
6, 0.033626, 13755, 69773, 124.693, 4.69225, -1, -1
7, 0.331965, 7480, 38833, 71.0657, 4.41691, -1, -1
8, 0.221855, 7480, 38713, 71.0657, 4.2985, -1, -1
9, 0.055622, 7480, 38713, 43.6526, 4.06574, -1, -1
6, 0.020142, 10640, 53319, 43.6526, 4.12248, -1, -1
7, 0.203151, 7460, 38653, 43.6526, 4.07643, -1, -1
8, 0.121639, 7460, 38629, 43.6526, 4.04863, -1, -1
9, 0.052794, 7460, 38629, 43.0646, 3.94666, -1, -1
6, 0.017901, 9722, 48594, 43.0646, 4.00518, -1, -1
7, 0.157932, 7459, 38610, 43.0646, 3.95618, -1, -1
8, 0.106631, 7459, 38617, 43.0646, 3.94516, -1, -1
9, 0.049166, 7459, 38617, 42.631, 3.88802, -1, -1
6, 0.048279, 19364, 101085, 30.7145, 4.47897, -1, -1
7, 0.451588, 11866, 63790, 25.0967, 4.01434, -1, -1
8, 0.334934, 11866, 63651, 25.0967, 3.94899, -1, -1
9, 0.076028, 11866, 63651, 24.8136, 3.76836, -1, -1
6, 0.028451, 15142, 78799, 24.8136, 3.89057, -1, -1
7, 0.254068, 11694, 62867, 24.8136, 3.78494, -1, -1
8, 0.180409, 11694, 62816, 24.8136, 3.7685, -1, -1
9, 0.069398, 11694, 62816, 24.8136, 3.6953, -1, -1
6, 0.022529, 13073, 68947, 20.9991, 3.77181, -1, -1
7, 0.345714, 11746, 63126, 8.83044, 3.71551, -1, -1
8, 0.170689, 11746, 63095, 8.83044, 3.70719, -1, -1
9, 0.068236, 11746, 63095, 7.81904, 3.66717, -1, -1
7, 0.297479, 11580, 62226, 7.81904, 3.66695, -1, -1
4, 6.49553, 11580, 62226, 7.81904, 3.66695, -1, -1
5, 0.10892, 5195, 21274, 7.76682, 3.72266, -1, -1
-1, 7.82437, 5195, 21274, 7.76682, 3.72266, 0, 77
